Longitude,Latitude,Perturbed Longitude,Perturbed Latitude
-77.6201904,43.0801749,-77.62279543062283,43.08089444148306
-77.6201901,43.0801735,-77.62352618938463,43.076011751206565
-77.6201901,43.0801735,-77.62040798203822,43.07774594323611
-77.6201929,43.0801674,-77.61978398866869,43.081114073464555
-77.6201929,43.0801674,-77.61620298162657,43.086660203341246
-77.6201958,43.0801594,-77.61853033834167,43.08035455543559
-77.6201958,43.0801594,-77.62023371602251,43.080067115970365
-77.6201973,43.0801544,-77.61871914815822,43.080001498619886
-77.6201973,43.0801544,-77.62437569394105,43.081357563504305
-77.6201978,43.0801523,-77.62344742614836,43.08192834890485
-77.6201978,43.0801523,-77.61889320744088,43.07714041391431
-77.6201985,43.0801509,-77.62102922323089,43.08141245683906
-77.6201985,43.0801509,-77.62275900164843,43.07987467484368
-77.620196,43.0801464,-77.62001044251993,43.079942935564446
-77.620196,43.0801464,-77.62023084493624,43.079910856213665
-77.6201922,43.0801423,-77.61830515143376,43.07984794743307
-77.6201922,43.0801423,-77.620836878372,43.081045494394424
-77.6201901,43.0801408,-77.62048896364335,43.080447734743885
-77.6201901,43.0801408,-77.62001086636188,43.080388003968764
-77.6201879,43.0801401,-77.61968656177429,43.0797352116648
-77.6201879,43.0801401,-77.61365981080338,43.080093578650676
-77.6201822,43.0801407,-77.6117156894764,43.08365107845045
-77.6201822,43.0801407,-77.61830904933984,43.083142054179575
-77.6201789,43.0801413,-77.61970195278846,43.079427606893795
-77.6201789,43.0801413,-77.61959652590295,43.07973374626265
-77.6201777,43.0801414,-77.62259549695592,43.0776762685447
-77.6201777,43.0801414,-77.61915325097414,43.08042291752175
-77.6201742,43.0801405,-77.6247500188668,43.08020980883225
-77.6201742,43.0801405,-77.6209624016843,43.07942911880947
-77.6201697,43.080137,-77.62037320794167,43.07975629957646
-77.6201697,43.080137,-77.62058414890734,43.08377139798914
-77.6201756,43.0801438,-77.62018027687823,43.080142234889756
-77.6201756,43.0801438,-77.61891373921087,43.07915961443339
-77.6201744,43.0801425,-77.62004807147744,43.081963933405184
-77.6201744,43.0801425,-77.6197911250053,43.08076420839114
-77.6201717,43.08014,-77.62102763904576,43.07953196132683
-77.6201717,43.08014,-77.62048420456055,43.0795193309356
-77.6201672,43.0801357,-77.62091874742376,43.08048423931772
-77.6201672,43.0801357,-77.61958090558413,43.07981834661305
-77.6201626,43.0801305,-77.62037597563754,43.08032333162204
-77.6201626,43.0801305,-77.62289335999544,43.079782240275435
-77.6201518,43.0801124,-77.61913574858723,43.08006439669808
-77.6201518,43.0801124,-77.62063081824328,43.079062349410314
-77.6201448,43.0800995,-77.61872014106544,43.08008976007113
-77.6201448,43.0800995,-77.61867285279551,43.0810559242287
-77.6201414,43.0800929,-77.61995271312911,43.08060534632278
-77.6201414,43.0800929,-77.62000274787613,43.080281944935614
-77.6201266,43.080085,-77.62089260654412,43.07253455410868
-77.6201266,43.080085,-77.62118515247806,43.080042759479056
-77.6201225,43.0800799,-77.62007566338613,43.07955158983982
-77.6201225,43.0800799,-77.62050709734505,43.081254138723125
-77.6201203,43.0800691,-77.62007631470239,43.07951082982941
